,label,message
235,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
4109,ham,Pls send me your address sir.
4536,ham,IM LATE TELLMISS IM ON MY WAY
3045,ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
2167,ham,"Thank you. And by the way, I just lost."
3531,ham,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?"
4395,ham,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!
4155,ham,Haf u eaten? Wat time u wan me 2 come?
4471,ham,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester"
1884,ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
383,ham,Hey leave it. not a big deal:-) take care.
1512,ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
396,ham,From here after The performance award is calculated every two month.not for current one month period..
54,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
5308,ham,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now
5158,ham,I will come with karnan car. Please wait till 6pm will directly goto doctor.
3498,ham,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served"
1171,ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
1908,ham,ELLO BABE U OK?
3406,ham,"Jus chillaxin, what up"
373,ham,I'm going for bath will msg you next  &lt;#&gt;  min..
2078,ham,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
4464,ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
2210,ham,"Hmm well, night night "
3685,ham,Dad says hurry the hell up
3918,ham,Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...
1941,ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
4248,spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
3911,ham,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
5493,ham,I think if he rule tamilnadu..then its very tough for our people.
5258,ham,1 in cbe. 2 in chennai.
46,ham,Didn't you get hep b immunisation in nigeria.
1436,ham,Dad went out oredi... 
4234,ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
3223,ham,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !"
3763,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
75,ham,I am waiting machan. Call me once you free.
70,ham,Wah lucky man... Then can save money... Hee...
61,ham,Ha ha ha good joke. Girls are situation seekers.
4680,ham,Sry da..jst nw only i came to home..
4075,ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
3723,ham,I'm in a movie... Collect car oredi...
1412,ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
969,ham,Are you willing to go for aptitude class.
4800,ham,I dont know why she.s not getting your messages
4985,spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
1779,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
2526,ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
3770,ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
5332,ham,I think steyn surely get one wicket:)
5147,spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
3578,ham,Yeah confirmed for you staying at  that weekend
4444,ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
4847,ham,Pls help me tell Ashley that i cant find her number oh
3864,spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50"
3359,ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
280,ham,All done? All handed in? Celebrations in full swing yet?
5479,ham,Really do hope the work doesnt get stressful. Have a gr8 day.
4670,ham,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!"
1523,ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
4600,ham,Have you laid your airtel line to rest?
5292,spam,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
959,ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
4436,spam,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
461,ham,Where did u go? My phone is gonna die you have to stay in here
1097,spam,Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
1871,ham,"Aight, I'll text you when I'm back"
2600,ham,"Gosh that , what a pain. Spose I better come then."
2884,ham,Anything lor is she coming?
4758,ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
1705,ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
320,ham,"Coffee cake, i guess..."
578,ham,Ü wait 4 me in sch i finish ard 5..
1121,ham,Cancel cheyyamo?and get some money back?
4370,ham,Anytime lor...
2976,ham,"Don't worry, * is easy once have ingredients!"
262,ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
4835,ham,I hope your pee burns tonite.
2990,spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
2903,ham,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it."
4119,ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
3633,ham,Oooh I got plenty of those!
3378,ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
5428,ham,You didnt complete your gist oh.
1310,ham,"Ok, be careful ! Don't text and drive !"
22,ham,So ü pay first lar... Then when is da stock comin...
2829,ham,Wife.how she knew the time of murder exactly
1390,ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
4697,ham,A guy who gets used but is too dumb to realize it.
2396,ham,"Babe, I'm back ... Come back to me ..."
2393,ham,"Thanks da thangam, i feel very very happy dear. I also miss you da."
2254,ham,Lol enjoy role playing much?
3534,ham,"Sorry, I'll call later"
3321,ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
1733,ham,"K, can that happen tonight?"
670,ham,Did u receive my msg?
3208,ham,This phone has the weirdest auto correct.
3830,ham,"Sure, I'll see if I can come by in a bit"
2534,ham,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.
377,ham,You could have seen me..i did't recognise you Face.:)
1320,ham,Correct. So how was work today
2836,ham,"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter.."
1209,ham,Also maaaan are you missing out
3316,spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
4477,ham,I'll pick you up at about 5.15pm to go to taunton if you still want to come.
5170,ham,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.
4863,spam,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
3419,spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
5442,ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
2493,ham,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.
588,ham,Pete can you please ring meive hardly gotany credit
1723,ham,Thought praps you meant another one. Goodo! I'll look tomorrow 
4428,ham,So what did the bank say about the money?
1194,spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248
238,ham,Where are you?when wil you reach here?
3286,ham,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?
1110,ham,S s..first time..dhoni rocks...
4470,ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting."
5150,ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)"
1772,ham,Watching tv now. I got new job :)
311,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
2859,ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
3860,spam,"Win the newest Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
1322,ham,"I wake up long ago already... Dunno, what other thing?"
3628,ham,Still chance there. If you search hard you will get it..let have a try :)
5183,ham,"Fuuuuck I need to stop sleepin, sup"
4841,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
3324,ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
3617,ham,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb"
4170,ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
1810,ham,"Aight, I'll ask a few of my roommates"
5563,ham,Ard 6 like dat lor.
3630,ham,Should I head straight there or what
3983,ham,His frens go then he in lor. Not alone wif my mum n sis lor.
3100,ham,Ok... I din get ur msg...
4994,ham,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX."
4688,ham,Eatin my lunch...
4058,ham,Noice. Text me when you're here
2494,ham,they released another Italian one today and it has a cosign option
3532,ham,Prepare to be pounded every night...
1223,ham,Teach me apps da. When you come to college.
2464,ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
3109,ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
1828,ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.
4217,ham,Er mw im filled tuth is aight
2297,spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
1030,ham,"Its good, we'll find a way"
4821,spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo
4256,spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge
5037,spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
2051,ham,Hi where you. You in home or calicut?
2295,spam,You have 1 new message. Please call 08718738034.
2995,ham,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
2472,ham,"sry can't talk on phone, with parents"
4714,ham,Big brother‘s really scraped the barrel with this shower of social misfits
2080,ham,I can take you at like noon
3269,ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
2287,ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
2034,ham,IM GONNA MISS U SO MUCH
1176,ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
3616,ham,I enjoy watching and playing football and basketball. Anything outdoors. And you?
1370,ham,Did you try making another butt.
2012,ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1."
531,spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
98,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
3372,ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
2539,ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
3712,ham,"Sorry pa, i dont knw who ru pa?"
5153,ham,Haven't left yet so probably gonna be here til dinner
1089,spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
685,ham,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
372,ham,I will spoil you in bed as well :)
5384,ham,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X
5245,ham,Thank you princess! I want to see your nice juicy booty...
1244,ham,No shoot me. I'm in the docs waiting room. :/
272,ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
1910,ham,Then u going ikea str aft dat?
1972,ham,Enjoy ur life. . Good night
3240,ham,Am okay. Will soon be over. All the best
2026,ham,"Yes obviously, but you are the eggs-pert and the potato head… Speak soon! "
5340,ham,Are u awake? Is there snow there?
1959,ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
1041,ham,Today am going to college so am not able to atten the class.
856,spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
59,ham,Yes..gauti and sehwag out of odi series.
587,ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... "
1480,ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
845,ham,K.k:)when are you going?
3417,ham,Uhhhhrmm isnt having tb test bad when youre sick
1765,spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
1242,ham,"I want to show you the world, princess :) how about europe?"
3481,ham,What was she looking for?
2617,ham,I went to ur hon lab but no one is there.
4944,ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
3394,ham,Ok thanx...
2435,ham,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
1982,ham,"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; "
1550,ham,Dude sux for snake. He got old and raiden got buff
2715,ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?
2366,ham,Ok try to do week end course in coimbatore.
5406,ham,Dear are you angry i was busy dear
385,spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
3044,ham,Your bill at 3 is £33.65 so thats not bad!
621,ham,Dear we got  &lt;#&gt;  dollars hi hi
4960,ham,"What i mean was i left too early to check, cos i'm working a 9-6."
191,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
5341,ham,And of course you should make a stink!
3061,ham,K..k...from tomorrow onwards started ah?
5181,ham,K sure am in my relatives home. Sms me de. Pls:-)
4224,ham,Stupid auto correct on my phone
1387,ham,All e best 4 ur exam later.
523,ham,Were gonna go get some tacos
274,ham,"Usf I guess, might as well take 1 car"
1951,ham,Oh ic. I thought you meant mary jane.
1635,spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
2144,ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! 
4156,spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
4587,spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
4628,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
1962,ham,LOL that would be awesome payback.
5116,ham,Thanks. Fills me with complete calm and reassurance! 
1008,ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
5320,ham,But we havent got da topic yet rite?
3547,ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK MORROW. C U THIS WK? WHO WAS THE MSG 4?  RANDOM!
3960,ham,Have a nice day my dear.
4702,ham,I liked the new mobile
105,ham,Umma my life and vava umma love you lot dear
1094,ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
1526,ham,Pls pls find out from aunt nike.
2760,ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee..."
3658,ham,Studying. But i.ll be free next weekend.
4685,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
1277,ham,Can do lor...
3355,ham,R u sure they'll understand that! Wine * good idea just had a slurp!
5151,ham,No problem with the renewal. I.ll do it right away but i dont know his details.
4880,ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
4232,ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
4273,ham,Where to get those?
5416,ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
4839,ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun
2385,ham,"Sorry, I'll call later"
466,ham,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
2401,ham,Hi! This is Roger from CL. How are you?
3139,ham,Wat r u doing now?
2991,ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
3048,ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! "
3704,ham,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
3174,spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
108,ham,How would my ip address test that considering my computer isn't a minecraft server
244,ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
2428,ham,Do you think i can move  &lt;#&gt;  in a week
3700,ham,How i noe... Did ü specify da domain as nusstu... Ü still in sch...
504,ham,Lolnice. I went from a fish to ..water.?
3030,ham,What is your record for one night? :)
494,ham,What class of  &lt;#&gt;  reunion?
4792,ham,Send me your resume:-)
3610,ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
622,ham,Good words.... But words may leave u in dismay many times.
3946,ham,I will be gentle princess! We will make sweet gentle love...
5163,ham,Ok leave no need to ask
3994,ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
1938,ham,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."""
598,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
731,spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
3407,ham,HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.
4656,ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.
3038,ham,Cos darren say ü considering mah so i ask ü...
1561,ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
1289,ham,Happy new year to u too!
2970,ham,Ma head dey swell oh. Thanks for making my day
1767,spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
5124,ham,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
4366,ham,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.
3906,spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
3538,ham,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*"
3008,ham,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!
4977,ham,You are gorgeous! keep those pix cumming :) thank you!
1649,ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:)
2172,ham,I wont. So wat's wit the guys
1098,ham,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.
3273,ham,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
2220,spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
1477,ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
3028,ham,You still at the game?
893,ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
1836,ham,* Will be september by then!
3664,ham,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" I will be with YOU "" Wherevr.. Whenevr.. Forevr... Gudnyt dear.."
175,ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
1113,ham,So that means you still think of teju
3242,ham,Ok i've sent u da latest version of da project.
4071,ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
4385,ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
885,ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
3403,ham,"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear...."""
2042,ham,Ü dun wan to watch infernal affair?
3224,ham,Well that must be a pain to catch
4588,ham,"I'll see if I can swing by in a bit, got some things to take care of here firsg"
2981,ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
