,label,message
1476,ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
3159,ham,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE
1097,spam,Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
2520,ham,Ok. I only ask abt e movie. U wan ktv oso?
3907,ham,Went fast asleep dear.take care.
1809,ham,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
4346,ham,Enjoy urself tmr...
4518,ham,"Men always needs a beautiful, intelligent, caring, loving, adjustable, cooperative wife. But the law allows only one wife...."
884,ham,Dude we should go sup again
247,ham,I asked you to call him now ok
2774,spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
1078,ham,"Yep, by the pretty sculpture"
2082,ham,I'm aight. Wat's happening on your side.
4134,spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
4901,spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
1232,ham,have got * few things to do. may be in * pub later.
4098,ham,i am going to bed now prin
1226,ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
2724,ham,"Tunde, how are you doing. This is just wishing you a great day. Abiola."
762,ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
2339,ham,"Alright, see you in a bit"
2195,ham,Hi my email address has changed now it is 
3416,ham,He remains a bro amongst bros
1131,ham,Howz pain?hope u r fine..
3325,ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
5292,spam,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
4280,spam,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !"
3168,ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
3627,ham,Yeah right! I'll bring my tape measure fri!
4101,ham,I not at home now lei...
5068,spam,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 
3690,ham,You still coming tonight?
3164,spam,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
2625,ham,S da..al r above  &lt;#&gt;
3347,ham,U're welcome... Caught u using broken english again...
3306,ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
5393,ham,"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!"
3037,ham,;-) ok. I feel like john lennon.
4519,ham,That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?
1645,ham,India have to take lead:)
5380,ham,Its sunny in california. The weather's just cool
752,spam,You have an important customer service announcement from PREMIER.
4133,ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
261,ham,Yup
4476,ham,We will meet soon princess! Ttyl!
3932,ham,Nooooooo I'm gonna be bored to death all day. Cable and internet outage.
1526,ham,Pls pls find out from aunt nike.
3488,ham,Change windows logoff sound..
1317,ham,Why nothing. Ok anyway give me treat
3758,spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
3482,ham,Wherre's my boytoy ? :-(
701,ham,How much r ü willing to pay?
3503,ham,I will come to ur home now
1978,spam,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
4072,ham,I've reached home n i bathe liao... U can call me now...
1206,ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
5264,ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@"
1474,ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
3068,ham,Ok. So april. Cant wait
4590,ham,Have you not finished work yet or something?
3553,ham,Lol u still feeling sick?
1615,ham,Me sef dey laugh you. Meanwhile how's my darling anjie!
2543,ham,Aiyo please ü got time meh.
2033,ham,"Yes, i'm small kid.. And boost is the secret of my energy.."
1084,ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
3722,ham,Blank is Blank. But wat is blank? Lol
775,ham,Just sleeping..and surfing
755,ham,Realy sorry-i don't recognise this number and am now confused :) who r u please?! 
3299,spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
5031,ham,Is there coming friday is leave for pongal?do you get any news from your work place.
4400,ham,Yes just finished watching days of our lives. I love it.
3530,spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
58,ham,Tell where you reached
5322,ham,"Thanks, I'll keep that in mind"
4562,ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
3443,spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
3027,ham,I finished my lunch already. U wake up already?
191,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
2877,ham,Fuck cedar key and fuck her (come over anyway tho)
2269,spam,88066 FROM 88066 LOST 3POUND HELP
4259,ham,I am late. I will be there at
3778,spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876"
3586,ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
4213,spam,Missed call alert. These numbers called but left no message. 07008009200
2849,ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
179,ham,Text her. If she doesnt reply let me know so i can have her log in
1099,ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
2655,ham,Its sarcasm.. .nt scarcasim
2938,ham,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.
3990,ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
5466,spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
5185,ham,I just cooked a rather nice salmon a la you
5269,spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy "
5377,spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
2741,ham,Nothing. Can...
372,ham,I will spoil you in bed as well :)
3783,ham,How r ü going to send it to me?
5074,ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
4784,ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
1716,ham,Asking do u knw them or nt? May be ur frnds or classmates?
554,ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
3661,ham,I will reach ur home in  &lt;#&gt;  minutes
820,ham,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
16,ham,Oh k...i'm watching here:)
5461,ham,Ok i thk i got it. Then u wan me 2 come now or wat?
3351,ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
2791,spam,U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870
3967,ham,I was just callin to say hi. Take care bruv!
3564,spam,"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck."
3609,ham,Pls come quick cant bare this.
655,ham,Did u got that persons story
5085,ham,Sorry i missed your call. Can you please call back.
2185,ham,I know a few people I can hit up and fuck to the yes
4450,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
3733,ham,Gud mrng dear hav a nice day
3820,ham,"sorry brah, just finished the last of my exams, what up"
1783,ham,My uncles in Atlanta. Wish you guys a great semester.
3613,ham,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
166,ham,I place all ur points on e cultures module already.
597,ham,Gud mrng dear have a nice day
4885,ham,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.
1276,ham,Wot u up 2 u weirdo?
2150,ham,Waaaat?? Lololo ok next time then!
3339,ham,"K, if u bored up just come to my home.."
1107,ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*"
4065,ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
3464,ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
5245,ham,Thank you princess! I want to see your nice juicy booty...
3394,ham,Ok thanx...
1625,spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
1195,ham,Ok... C ya...
3378,ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
5545,ham,Hi its in durban are you still on this number
585,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
3012,ham,"Hm good morning, headache anyone? :-)"
1365,ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
2820,ham,Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*
180,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
614,ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
5353,ham,Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...
568,ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
5236,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
3715,ham,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
1846,ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
4296,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
4648,ham,God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!
3143,ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
4957,ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
1697,ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
4039,ham,Hope you are not scared!
2950,ham,at bruce b downs &amp; fletcher now
1668,ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
82,ham,Ok i am on the way to home hi hi
984,ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP
2183,ham,PS U no ur a grown up now right?
4356,ham,"Sorry, I can't help you on this."
2879,spam,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX"
4247,ham,Well welp is sort of a semiobscure internet thing
1725,ham,There bold 2  &lt;#&gt; . Is that yours
4182,ham,"Ok da, i already planned. I wil pick you."
5384,ham,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X
2529,ham,jay says he'll put in  &lt;#&gt;
5360,ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
5564,ham,Why don't you wait 'til at least wednesday to see if you get your .
1960,ham,Howz that persons story
2448,ham,Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...
4589,ham,I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :)
1208,ham,I need you to be in my strong arms...
3361,ham,Please attend the phone:)
1864,ham,I'll let you know when it kicks in
3807,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only
3467,ham,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though"
3726,ham,Nothing spl..wat abt u and whr ru?
4425,ham,Update your face book status frequently :)
3431,ham,You've always been the brainy one.
5338,ham,So when do you wanna gym?
5321,ham,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
3892,ham,No problem. We will be spending a lot of quality time together...
2664,spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
4990,ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
2066,ham,Cos daddy arranging time c wat time fetch ü mah...
4646,ham,Are you planning to come chennai?
3885,spam,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345
2645,ham,My friends use to call the same.
4579,spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
2874,ham,I dont understand your message.
3024,ham,You are a very very very very bad girl. Or lady.
3186,ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
3132,spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323."
3078,ham,There is no sense in my foot and penis.
4585,ham,Noooooooo please. Last thing I need is stress. For once in your life be fair.
1345,ham,Were somewhere on Fredericksburg
4373,spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
3595,spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705
3377,ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
2137,ham,Well done and ! luv ya all 
2823,spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
4567,ham,Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?
5040,ham,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.
5025,ham,Where you. What happen
4429,ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
2485,ham,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.
4961,ham,I want  &lt;#&gt;  rs da:)do you have it?
5146,ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
1406,ham,K..k..any special today?
3284,ham,Hey tmr maybe can meet you at yck
2775,ham,"Dude u knw also telugu..thts gud..k, gud nyt.."
318,ham,"Not really dude, have no friends i'm afraid :("
1800,ham,"If we hit it off, you can move in with me :)"
2392,ham,PICK UR FONE UP NOW U DUMB?
4023,ham,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
4354,ham,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits"
1561,ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
2809,ham,Yes princess! I want to catch you with my big strong hands...
4929,ham,Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!
4827,ham,"Haha, just what I was thinkin"
5187,ham,WHAT TIME U WRKIN?
1088,ham,You can never do NOTHING
1498,ham,I'm putting it on now. It should be ready for  &lt;TIME&gt; 
2306,ham,Still in the area of the restaurant. Ill try to come back soon
1212,ham,Ok then i will come to ur home after half an hour
809,ham,I am taking half day leave bec i am not well
1110,ham,S s..first time..dhoni rocks...
4174,ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
3069,ham,Boy you best get yo ass out here quick
2464,ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
2073,ham,That is wondarfull song
1708,ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
2099,ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?"
8,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
1806,ham,God bless.get good sleep my dear...i will pray!
3112,ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng..."
1043,ham,Easy ah?sen got selected means its good..
4334,ham,Y bishan lei... I tot ü say lavender? 
2678,ham,Where in abj are you serving. Are you staying with dad or alone.
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!
192,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
4040,ham,I cant pick the phone right now. Pls send a message
1564,ham,Get ready to put on your excellent sub face :)
2243,ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
4540,ham,"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more"
1117,ham,Hey... What time is your driving on fri? We go for evaluation on fri?
3836,ham,I'm thinking that chennai forgot to come for auction..
5389,ham,Ok.ok ok..then..whats ur todays plan
4252,ham,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/
2707,ham,S now only i took tablets . Reaction morning only.
4237,spam,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
834,ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
1629,ham,Yes princess! I want to make you happy...
978,ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
3343,ham,You will go to walmart. I.ll stay.
3939,ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!
2184,ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
2181,ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
2222,ham,I notice you like looking in the shit mirror youre turning into a right freak
4994,ham,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX."
2665,ham,He remains a bro amongst bros
4403,ham,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8"
5200,spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk
1033,ham,HAPPY NEW YEAR MY NO.1 MAN
4465,ham,Ranjith cal drpd Deeraj and deepak 5min hold
4300,ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
287,ham,Ok..
4455,ham,I'm home. Ard wat time will u reach?
5144,ham,I'm in office now da:)where are you?
1852,ham,Dunno da next show aft 6 is 850. Toa payoh got 650.
3542,ham,If you are not coughing then its nothing
1130,ham,"So check your errors and if you had difficulties, do correction."
4387,ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, "
1236,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
5243,ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
1265,ham,I will see in half an hour
1459,ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
1052,ham,Do u noe wat time e place dat sells 4d closes?
3109,ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
2955,ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
1750,ham,DO NOT B LATE LOVE MUM
153,ham,Ok... Ur typical reply...
613,ham,I have many dependents
